
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-7-19,,,,,,,,,,1014,1010,1003,10,7,4,34,13,,0.00,7,Rain-Thunderstorm,124<br />
2001-7-20,,,,,,,,,,1011,1005,1001,10,8,3,37,16,,0.00,7,Rain-Thunderstorm,218<br />
2001-7-21,,,,,,,,,,1021,1016,1011,10,10,10,19,8,,0.00,5,,262<br />
2001-7-22,,,,,,,,,,1029,1026,1022,10,10,10,14,10,,0.00,4,,222<br />
2001-7-23,,,,,,,,,,1030,1028,1026,10,10,10,13,5,,0.00,6,,179<br />
2001-7-24,,,,,,,,,,1027,1024,1022,10,9,5,26,10,,0.00,7,,131<br />
2001-7-25,,,,,,,,,,1022,1017,1014,10,10,10,34,19,,0.00,5,,109<br />
2001-7-26,,,,,,,,,,1022,1017,1014,10,9,4,29,8,,0.00,7,Rain,236<br />
2001-7-27,,,,,,,,,,1031,1027,1023,10,10,10,32,21,,0.00,5,,268<br />
2001-7-28,,,,,,,,,,1033,1030,1029,10,10,10,23,14,,0.00,2,,299<br />
2001-7-29,,,,,,,,,,1029,1025,1021,8,4,0,24,6,,0.00,2,Fog,98<br />
2001-7-30,,,,,,,,,,1023,1020,1017,10,10,10,19,5,,0.00,6,,95<br />
2001-7-31,,,,,,,,,,1020,1017,1014,10,10,10,32,8,,0.00,5,,66<br />
2001-8-1,,,,,,,,,,1021,1019,1017,9,8,8,14,3,,0.00,4,,321<br />
2001-8-2,,,,,,,,,,1041,1022,1020,8,5,3,13,3,,0.00,1,,80<br />
2001-8-3,,,,,,,,,,1025,1022,1020,9,7,5,13,5,,0.00,0,,71<br />
2001-8-4,,,,,,,,,,1025,1022,1021,9,8,8,23,3,,0.00,0,,271<br />
2001-8-5,,,,,,,,,,1025,1022,1019,10,9,7,26,16,,0.00,8,,115<br />
2001-8-6,,,,,,,,,,1022,1019,1016,9,6,0,24,8,,0.00,5,Fog,68<br />
2001-8-7,,,,,,,,,,1026,1022,1016,10,8,3,19,10,,0.00,6,Rain,160<br />
2001-8-8,,,,,,,,,,1026,1025,1023,10,7,0,60,10,,0.00,5,Fog,119<br />
2001-8-9,,,,,,,,,,1026,1024,1023,10,7,4,13,5,,0.00,4,,165<br />
2001-8-10,,,,,,,,,,1028,1027,1025,10,9,3,21,10,,0.00,5,,144<br />
2001-8-11,,,,,,,,,,1028,1026,1024,10,10,10,37,16,,0.00,4,,112<br />
2001-8-12,,,,,,,,,,1025,1022,1019,,,,24,13,,0.00,,,105<br />
